,ID
2744,1385526017851367430
2745,1385526015536021507
2746,1385525998301503488
2747,1385525997559160832
2748,1385525996166819842
2749,1385525995818475521
2750,1385525961043718144
2751,1385525945474469889
2752,1385525942093635587
2753,1385521785387446274
2754,1385517418081001474
2755,1385513175550808064
2756,1385509793842925568
2757,1385504474324688900
2758,1385502681159012353
2759,1385498405166743558
2760,1385498151235117056
2761,1385495747529875456
2762,1385492482230603776
2763,1385492297270263810
2764,1385489331805204481
2765,1385489119984369665
2766,1385486791092756480
2767,1385482802771099649
2768,1385466359279091715
2769,1385447030986735619
2770,1385446230453489667
2771,1385444407860600833
2772,1385442725101637633
2773,1385437516719955968
2774,1385435761776988161
2775,1385426084460703747
2776,1385342665332600832
2777,1385336107949301768
2778,1385294725750693892
2779,1385225249571151872
2780,1385209366819790848
2781,1385111325131558914
2782,1385098183064231941
2783,1385076274742251526
2784,1385043233550442499
2785,1384955109667450881
2786,1384912324549619714
2787,1384869858974834691
2788,1384843868949127172
2789,1384744780077277185
2790,1384740510586314752
2791,1384586431063003141
2792,1384544994313314311
2793,1384512395448565763
2794,1384430091875147780
2795,1384396396279828485
2796,1384348908592107520
2797,1384256488059723776
2798,1384236481443598339
2799,1384235879137382400
2800,1384203817277816840
2801,1384100639257464840
2802,1384096352322260994
2803,1384049202297143300
2804,1383903292569243654
2805,1383860421426225156
2806,1383858956171317252
2807,1383810313762398217
2808,1383764341569163271
2809,1383724615294328839
2810,1383698008970129409
2811,1383504201473425419
2812,1383463471908417541
2813,1383438521176707075
2814,1383420486311235589
2815,1383121783511977986
2816,1383104889023266822
2817,1383092454434439173
2818,1383088588724838401
2819,1383088554255990789
2820,1383087748362428420
2821,1383038745528664064
2822,1382999644888838144
2823,1382995821059186693
2824,1382993369849155590
2825,1382993289767313408
2826,1382970981602402310
2827,1382928855204130820
2828,1382926262218366977
2829,1382917284059054102
2830,1382877665074544642
2831,1382800535829434369
2832,1382755123395489792
2833,1382691494285434887
2834,1382678817622401025
2835,1382672625042915330
2836,1382643057921769472
2837,1382622764113174530
2838,1382614911751237633
2839,1382614725305896963
2840,1385540008887660544
2841,1385539976276979712
2842,1385536477006901250
2843,1385536289798246401
2844,1385535595120824328
2845,1385534531747422209
2846,1385531750932221959
2847,1385530391625408512
2848,1385530368703533056
2849,1385530116856500225
2850,1385529744691765249
2851,1385526234801741825
2852,1385525431122677764
2853,1385523996314292224
2854,1385523860594905090
2855,1385523084870967298
2856,1385520847021121539
2857,1385520339539607553
2858,1385519551937396736
2859,1385519243173695488
2860,1385519097560059909
2861,1385519060574777352
2862,1385519058729250816
2863,1385516623394713600
2864,1385516546546675713
2865,1385515925101760512
2866,1385515285252395009
2867,1385514475298693121
2868,1385514110121545733
2869,1385513351594315780
2870,1385512907753107456
2871,1385512436988579841
2872,1385512321662005248
2873,1385512057429168128
2874,1385511835156238338
2875,1385511181176147968
2876,1385511156228497412
2877,1385510698541887488
2878,1385510383104954370
2879,1385510369058344961
2880,1385509912495771652
2881,1385508561954934787
2882,1385507313180631047
2883,1385506904462401538
2884,1385506635616038913
2885,1385506453666947072
2886,1385505789222297601
2887,1385503257032679426
2888,1385500850882232321
2889,1385544139601743873
2890,1385544115069325312
2891,1385544107070742535
2892,1385544084148953089
2893,1385544049696907264
2894,1385544013994893312
2895,1385544004704608264
2896,1385543946009448451
2897,1385543891961663488
2898,1385543890988584961
2899,1385543824404107273
2900,1385543824102023170
2901,1385543801364746244
2902,1385543783467606016
2903,1385543770180132864
2904,1385543755709698051
2905,1385543600193380353
2906,1385543587740409858
2907,1385543553707876353
2908,1385543534934175745
2909,1385543523533996037
2910,1385543515288047619
2911,1385543508661051394
2912,1385543418399674370
2913,1385543401555247104
2914,1385543381493891073
2915,1385543277248716801
2916,1385543087586414592
2917,1385543030460096514
2918,1385543018317484032
2919,1385542980249997318
2920,1385542937875034113
2921,1385542922314072071
2922,1385542840516743176
2923,1385542836251250692
2924,1385542828810543105
2925,1385542750859370502
2926,1385542731066396673
2927,1385542726796685314
2928,1385542715933224964
2929,1385542674061709313
2930,1385542665031274496
2931,1385542534705946626
2932,1385542528120807431
2933,1385542486873939969
2934,1385542464807870467
2935,1385542387620065280
2936,1385542352413118465
2937,1385542342845730818
2938,1385542326349701120
2939,1385542289087467528
2940,1385542142299418628
2941,1385542125350268930
2942,1385542113480355841
2943,1385542078633967622
2944,1385542075022774275
2945,1385542011948871687
2946,1385541991086309380
2947,1385541971054301184
2948,1385541948728086532
2949,1385541924161982467
2950,1385541915500851201
2951,1385541907498127364
